Gene	Accession No.	Species
ef1af2	EF032364	Bombus haematurus
ef1af2	AF492983	Bombus haemorrhoidalis
ef1af2	DQ788197	Bombus handlirschi
ef1af2	DQ788198	Bombus handlirschianus
ef1af2	DQ788199	Bombus hedini
ef1af2	AF492962	Bombus honshuensis
ef1af2	DQ788200	Bombus hortorum
ef1af2	DQ788201	Bombus hortulanus
ef1af2	DQ788202	Bombus humilis
ef1af2	AF492978	Bombus huntii
ef1af2	DQ788204	Bombus hyperboreus
ef1af2	DQ788205	Bombus hypnorum
ef1af2	AF492956	Bombus hypocrita
ef1af2	DQ788207	Bombus ignitus
ef1af2	DQ788208	Bombus imitator
ef1af2	EF032373	Bombus impetuosus
ef1af2	DQ788211	Bombus incertus
ef1af2	DQ788212	Bombus infirmus
ef1af2	DQ788213	Bombus infrequens
ef1af2	AF492975	Bombus insularis
ef1af2	DQ788214	Bombus jonellus
ef1af2	DQ788215	Bombus kashmirensis
ef1af2	DQ788216	Bombus keriensis
ef1af2	AF492969	Bombus koreanus
ef1af2	DQ788217	Bombus kulingensis
ef1af2	AY739575	Bombus ladakhensis
ef1af2	DQ788218	Bombus laesus
ef1af2	DQ788219	Bombus lapidarius
ef1af2	DQ788220	Bombus lapponicus
ef1af2	DQ788221	Bombus lemniscatus
ef1af2	DQ788222	Bombus lepidus
ef1af2	DQ788223	Bombus longipes
ef1af2	DQ788224	Bombus lucorum
ef1af2	DQ788226	Bombus macgregori
ef1af2	DQ788227	Bombus maxillosus
ef1af2	DQ788228	Bombus medius
ef1af2	DQ788143	Bombus melaleucus
ef1af2	DQ788229	Bombus melanopygus
ef1af2	AF492923	Bombus melanurus
ef1af2	AF492957	Bombus mendax
ef1af2	DQ788231	Bombus mesomelas
ef1af2	DQ788232	Bombus mexicanus
ef1af2	DQ788233	Bombus miniatus
ef1af2	AF492947	Bombus mixtus
ef1af2	DQ788235	Bombus mlokosievitzii
ef1af2	DQ788236	Bombus moderatus
ef1af2	AY267141	Bombus modestus
ef1af2	DQ788238	Bombus monticola
ef1af2	DQ788239	Bombus morio
ef1af2	AY267136	Bombus morrisoni
ef1af2	AF492935	Bombus mucidus
ef1af2	DQ788241	Bombus muscorum
ef1af2	DQ788242	Bombus neoboreus
ef1af2	DQ788243	Bombus nevadensis
ef1af2	DQ788244	Bombus niveatus
ef1af2	DQ788245	Bombus nobilis
ef1af2	DQ788246	Bombus norvegicus
ef1af2	DQ788247	Bombus oberti
ef1af2	DQ788248	Bombus occidentalis
ef1af2	DQ788249	Bombus opifex
ef1af2	AF492951	Bombus parthenius
ef1af2	AF492934	Bombus pascuorum
ef1af2	DQ788252	Bombus patagiatus
ef1af2	AY208281	Bombus pennsylvanicus
ef1af2	DQ788254	Bombus perplexus
ef1af2	DQ788255	Bombus persicus
ef1af2	DQ788256	Bombus personatus
ef1af2	DQ788257	Bombus picipes
ef1af2	AF492970	Bombus polaris
ef1af2	DQ788258	Bombus pomorum
ef1af2	DQ788259	Bombus portchinsky
ef1af2	DQ788260	Bombus potanini
ef1af2	AF492966	Bombus pratorum
ef1af2	EF032368	Bombus pressus
ef1af2	EF032372	Bombus pseudobaicalensis
ef1af2	DQ788261	Bombus pullatus
ef1af2	DQ788262	Bombus pyrenaeus
ef1af2	DQ788263	Bombus quadricolor
ef1af2	DQ788264	Bombus religiosus
ef1af2	DQ788265	Bombus remotus
ef1af2	DQ788266	Bombus robustus
ef1af2	DQ788267	Bombus rubicundus
ef1af2	AF492932	Bombus ruderarius
ef1af2	AF492977	Bombus ruderatus
ef1af2	DQ788268	Bombus rufocinctus
ef1af2	DQ788269	Bombus rufofasciatus
ef1af2	AF492928	Bombus rupestris
ef1af2	EF032361	Bombus sandersoni
ef1af2	AF492933	Bombus schrencki
ef1af2	DQ788270	Bombus securus
ef1af2	DQ788271	Bombus semenoviellus
ef1af2	DQ788272	Bombus shaposhnikovi
ef1af2	EF032370	Bombus sibiricus
ef1af2	DQ788273	Bombus sichelii
ef1af2	DQ788274	Bombus simillimus
ef1af2	DQ788275	Bombus sitkensis
ef1af2	DQ788276	Bombus skorikovi
ef1af2	EF032376	Bombus sonorus
ef1af2	DQ788278	Bombus soroeensis
ef1af2	EU254246	Bombus sp. Santiago
ef1af2	AY267140	Bombus sporadicus
ef1af2	DQ788280	Bombus steindachneri
ef1af2	DQ788281	Bombus subterraneus
ef1af2	DQ788282	Bombus suckleyi
ef1af2	DQ788283	Bombus sulfureus
ef1af2	DQ788284	Bombus supremus
ef1af2	AF492921	Bombus sushkini
ef1af2	DQ788285	Bombus sylvarum
ef1af2	DQ788286	Bombus sylvestris
ef1af2	DQ788287	Bombus sylvicola
ef1af2	AF492979	Bombus ternarius
ef1af2	DQ788289	Bombus terricola
ef1af2	DQ788290	Bombus tibetanus
ef1af2	AF492922	Bombus tichenkoi
ef1af2	DQ788291	Bombus transversalis
ef1af2	AF492937	Bombus tricornis
ef1af2	AF492918	Bombus trifasciatus
ef1af2	DQ788292	Bombus trinominatus
ef1af2	EF032367	Bombus tucumanus
ef1af2	AF492919	Bombus ussurensis
ef1af2	EU163206	Bombus vagans
ef1af2	DQ788294	Bombus vandykei
ef1af2	DQ788295	Bombus variabilis
ef1af2	DQ788296	Bombus velox
ef1af2	DQ788297	Bombus vestalis
ef1af2	DQ788298	Bombus veteranus
ef1af2	DQ788299	Bombus vogti
ef1af2	AY267133	Bombus volucelloides
ef1af2	DQ788300	Bombus vorticosus
ef1af2	DQ788301	Bombus vosnesenskii
ef1af2	DQ788302	Bombus waltoni
ef1af2	DQ788303	Bombus weisi
ef1af2	DQ788304	Bombus wilmattae
ef1af2	DQ788305	Bombus wurflenii
ef1af2	DQ788306	Bombus zonatus
ef1af2	DQ884600	Brachyglossula communis
ef1af2	GU245019	Brachynomada margaretae
ef1af2	GU244982	Brachynomada sp. JS-2010
ef1af2	EF190112	Braunsapis foveata
ef1af2	EF190111	Braunsapis leptozonia
ef1af2	GU245038	Braunsapis madecassella
ef1af2	DQ160177	Braunsapis sp. Malawi
ef1af2	DQ160175	Braunsapis sp. St-Marie-1
ef1af2	DQ160176	Braunsapis sp. St-Marie-2
ef1af2	DQ160174	Braunsapis sp. Taolagnaro
ef1af2	DQ160173	Braunsapis sp. Toliara
ef1af2	DQ149703	Braunsapis unicolor
ef1af2	DQ149702	Braunsapis vitrea
ef1af2	DQ149718	Brevineura elongata
ef1af2	HQ268561	Brevineura sp. A Queensland
ef1af2	HQ268559	Brevineura sp. C Queensland
ef1af2	HQ268557	Brevineura sp. New South Wales
ef1af2	DQ149717	Brevineura xanthoclypeata
ef1af2	DQ884574	Cadeguala albopilosa
ef1af2	DQ884577	Cadeguala occidentalis
ef1af2	DQ884578	Cadegualina andina
ef1af2	AF435375	Caenohalictus sp. BND-1
ef1af2	AF435376	Caenohalictus sp. BND-2
ef1af2	AF435377	Caenohalictus sp. BND-3
ef1af2	GU244974	Caenonomada sp. JS-2010
ef1af2	GU244983	Caenoprosopina holmbergi
ef1af2	GU245020	Caenoprosopis crabronina
ef1af2	EF599171	Calliopsis andreniformis
ef1af2	AY585100	Calliopsis anthidia
ef1af2	AY585101	Calliopsis fracta
ef1af2	AF504526	Calliopsis micheneri
ef1af2	AY585102	Calliopsis pugionis
ef1af2	EF601192	Calliopsis subalpina
ef1af2	AY585126	Callohesma calliopsella
ef1af2	AY585122	Callomelitta antipodes
ef1af2	EF599170	Callonychium atacamense
ef1af2	EF599175	Camptopoeum frontale
ef1af2	EF599176	Camptopoeum negevense
ef1af2	EF594329	Capicola hantamensis
ef1af2	EF594327	Capicola nanula
ef1af2	EF594328	Capicola nigerrima
ef1af2	DQ884576	Caupolicana bicolor
ef1af2	DQ884575	Caupolicana quadrifasciata
ef1af2	AY585124	Caupolicana vestita
ef1af2	FJ042289	Celetrigona aff. longicornis CR-2009
ef1af2	EU203249	Cellariella brooksi
ef1af2	DQ884589	Cephalocolletes isabelae
ef1af2	DQ884602	Cephalocolletes laticeps
ef1af2	FJ042290	Cephalotrigona aff. capitata CR-2009
ef1af2	FJ042292	Cephalotrigona capitata
ef1af2	FJ042291	Cephalotrigona sp. B CR-2009
ef1af2	DQ813110	Cephalotrigona sp. CR-2006
ef1af2	EU163186	Cephalotrigona sp. MP106
ef1af2	EU163248	Cephalotrigona sp. MP89
ef1af2	AY585108	Ceratina calcarata
ef1af2	GU244984	Ceratina cyanea
ef1af2	GU321640	Ceratina cyaniventris
ef1af2	DQ149700	Ceratina japonica
ef1af2	GU245044	Ceratina sp. JS-2010
ef1af2	EU367213	Chalybion californicum
ef1af2	EU851547	Chelostoma aureocinctum
ef1af2	EU863120	Chelostoma bytinskii
ef1af2	EU851548	Chelostoma californicum
ef1af2	EU851549	Chelostoma campanularum
ef1af2	EU863121	Chelostoma cockerelli
ef1af2	EU863111	Chelostoma diodon
ef1af2	EU863122	Chelostoma distinctum
ef1af2	EU863112	Chelostoma edentulum
ef1af2	EU863113	Chelostoma emarginatum
ef1af2	EU851546	Chelostoma florisomne
ef1af2	EU863123	Chelostoma foveolatum
ef1af2	AY585146	Chelostoma fuliginosum
ef1af2	EU863114	Chelostoma grande
ef1af2	EU863124	Chelostoma hellenicum
ef1af2	EU863125	Chelostoma incisulum
ef1af2	EU851545	Chelostoma lamellum
ef1af2	EU863126	Chelostoma laticaudum
ef1af2	EU863127	Chelostoma marginatum incisuloides
ef1af2	EU863128	Chelostoma minutum
ef1af2	EU863115	Chelostoma mocsaryi
ef1af2	EU863116	Chelostoma nasutum
ef1af2	EU863129	Chelostoma phaceliae
ef1af2	EU851551	Chelostoma philadelphi
ef1af2	EU851550	Chelostoma rapunculi
ef1af2	EU863117	Chelostoma sp. 2 CJP-2008
ef1af2	EU863118	Chelostoma sp. 3 CJP-2008
ef1af2	EU863130	Chelostoma styriacum
ef1af2	EU863119	Chelostoma transversum
ef1af2	EU863131	Chelostoma ventrale
ef1af2	DQ872751	Chilicola araucana
ef1af2	DQ884663	Chilicola herbsti
ef1af2	DQ872754	Chilicola inermis
ef1af2	DQ872750	Chilicola patagonica
ef1af2	DQ884662	Chilicola rostrata
ef1af2	DQ872745	Chilicola sp. 1 EABA-2006
ef1af2	DQ872746	Chilicola sp. 2 EABA-2006
ef1af2	DQ872747	Chilicola sp. 3 EABA-2006
ef1af2	DQ872748	Chilicola sp. 4 EABA-2006
ef1af2	DQ872749	Chilicola sp. 5 EABA-2006
ef1af2	DQ872753	Chilicola sp. 6 EABA-2006
ef1af2	AY585121	Chilicola styliventris
ef1af2	DQ872744	Chilicola vernalis
ef1af2	DQ884661	Chilicola vicugna
ef1af2	AF435392	Chilicolletes delahozii
ef1af2	DQ884656	Chilimelissa australis
ef1af2	DQ872740	Chilimelissa chusmiza
ef1af2	DQ884658	Chilimelissa irwini
ef1af2	DQ872739	Chilimelissa laureli
ef1af2	DQ872737	Chilimelissa mucar
ef1af2	DQ884657	Chilimelissa nortina
ef1af2	DQ872742	Chilimelissa pedroi
ef1af2	DQ872738	Chilimelissa rosie
ef1af2	AY585120	Chilimelissa rozeni
ef1af2	DQ884659	Chilimelissa sp. 1 EABA-2006
ef1af2	DQ872736	Chilimelissa sp. 2 EABA-2006
ef1af2	DQ872743	Chilimelissa sp. 3 EABA-2006
ef1af2	EF599173	Clavipanurgus desertus
ef1af2	AY585163	Clypeadon haigi
ef1af2	EU367214	Clypeadon taurulus
ef1af2	GU244980	Coelioxoides sp. JS-2010
ef1af2	GU244986	Coelioxoides waltheriae
ef1af2	EU851528	Coelioxys afra
ef1af2	GU245004	Coelioxys alternata
ef1af2	DQ884625	Colletellus velutinellus
ef1af2	DQ085576	Colletes acutus
ef1af2	DQ884646	Colletes bicolor
ef1af2	DQ884642	Colletes compactus
ef1af2	DQ884641	Colletes distinctus
ef1af2	DQ884649	Colletes floralis
ef1af2	DQ884651	Colletes furfuraceus
ef1af2	DQ085561	Colletes halophilus
ef1af2	DQ085553	Colletes hederae
ef1af2	AY585123	Colletes inaequalis
ef1af2	DQ884643	Colletes pascoensis
ef1af2	DQ884647	Colletes seminitidus
ef1af2	DQ884644	Colletes simulans
ef1af2	AY230130	Colletes skinneri
ef1af2	DQ884648	Colletes sp. EABA-2006
ef1af2	DQ085571	Colletes succinctus
ef1af2	DQ884645	Colletes thoracicus
ef1af2	DQ085577	Colletes wolfi
ef1af2	DQ149719	Compsomelissa borneri
ef1af2	GU245039	Compsomelissa keiseri
ef1af2	EF411176	Conanthalictus conanthi
ef1af2	AF435378	Conanthalictus wilmattae
ef1af2	GU244941	Ctenioschelus goryi
ef1af2	DQ884570	Ctenocolletes nigricans
ef1af2	DQ884571	Ctenocolletes rufescens
ef1af2	DQ884572	Ctenocolletes smaragdinus
ef1af2	AY585118	Ctenoplectra albolimbata
ef1af2	EU122136	Ctenoplectra antinorii
ef1af2	EU122137	Ctenoplectra armata
ef1af2	EU122138	Ctenoplectra australica
ef1af2	EU122139	Ctenoplectra bequaerti
ef1af2	EU122140	Ctenoplectra davidi
ef1af2	EU122141	Ctenoplectra florisomnis
ef1af2	EU122144	Ctenoplectra kelloggi
ef1af2	EU122145	Ctenoplectra polita
ef1af2	EU122150	Ctenoplectra terminalis
ef1af2	EU122135	Ctenoplectrina alluaudi
ef1af2	EU122149	Ctenoplectrina n. sp. HS-2007
ef1af2	GU244925	Ctenoplectrina sp. JS-2010
ef1af2	EF411173	Curvinomia ridleyi
ef1af2	DQ813111	Dactylurina staudingeri
ef1af2	AY585148	Dasypoda argentata
ef1af2	EF594333	Dasypoda braccata
ef1af2	EF594334	Dasypoda crassicornis
ef1af2	EF594331	Dasypoda dusmeti
ef1af2	EF594337	Dasypoda frieseana
ef1af2	AY585149	Dasypoda hirtipes
ef1af2	EF594332	Dasypoda oraniensis
ef1af2	EF594336	Dasypoda pyriformis
ef1af2	EF594338	Dasypoda spinigera
ef1af2	EF594339	Dasypoda suripes
ef1af2	HQ995705	Dianthidium arizonicum
ef1af2	GU244993	Dianthidium subparvum
ef1af2	AF435396	Dieunomia nevadensis
ef1af2	AF435397	Dieunomia triangulifera
ef1af2	AF435380	Dinagapostemon sp. BND-1
ef1af2	AF435381	Dinagapostemon sp. BND-2
ef1af2	HQ995696	Dioxys moesta
ef1af2	GU244997	Dioxys pomonae
ef1af2	AY585125	Diphaglossa gayi
ef1af2	GU245025	Doeringiella sp. JS-2010
ef1af2	DQ813112	Dolichotrigona browni
ef1af2	FJ042293	Dolichotrigona chachapoya
ef1af2	HQ995706	Duckeanthidium thielei
ef1af2	FJ042294	Duckeola ghilianii
ef1af2	EF411181	Dufourea holocyana
ef1af2	AF435382	Dufourea malacothricis
ef1af2	AF435383	Dufourea mulleri
ef1af2	AF435384	Dufourea novaeangliae
ef1af2	EF411180	Dufourea spinifera
ef1af2	EF411179	Dufourea spirula
ef1af2	DQ884598	Edwyniana sp. EABA-2006
ef1af2	HQ995707	Eoanthidium turnericum
ef1af2	HQ995708	Epanthidium bicoloratum
ef1af2	GU244987	Epeoloides coecutiens
ef1af2	GU244966	Epeoloides pilosula
ef1af2	GU245022	Epeolus scutellaris
ef1af2	GU245026	Epeolus sp. JS-2010
ef1af2	GU244988	Epeolus variegatus
ef1af2	GU244935	Epiclopus gayi
ef1af2	GU936598	Eremaphanta iranica
ef1af2	GU244936	Ericrocis lata
ef1af2	AY585162	Eucerceris tricolor
ef1af2	GU244947	Eufriesea surinamensis
ef1af2	GU244946	Euglossa piliventris
ef1af2	EF601167	Euherbstia excellens
ef1af2	DQ884654	Euhesma crabronica
ef1af2	DQ884652	Euhesma platyrhina
ef1af2	DQ884653	Euhesma sp. EABA-2006
ef1af2	GU244945	Eulaema meriana
ef1af2	DQ884599	Eulonchopria punctatissima
ef1af2	DQ884588	Eulonchopria simplicicrus
ef1af2	EU203259	Eupetersia seyrigi
ef1af2	DQ884611	Euryglossidia sp. 1 EABA-2006
ef1af2	DQ884612	Euryglossidia sp. 2 EABA-2006
ef1af2	DQ884613	Euryglossidia sp. 3 EABA-2006
ef1af2	DQ884618	Euryglossidia sp. 4 EABA-2006
ef1af2	DQ884619	Euryglossidia sp. 5 EABA-2006
ef1af2	AY585127	Euryglossina globuliceps
ef1af2	GU244944	Exaerete sp. JS-2010
ef1af2	DQ884626	Excolletes sp. EABA-2006
ef1af2	GU244989	Exomalopsis sp. JS-2010
ef1af2	DQ149705	Exoneura angophorae
ef1af2	GU245041	Exoneura bicolor
ef1af2	HQ268575	Exoneura illustris
ef1af2	DQ149707	Exoneura nigrescens
ef1af2	HQ268563	Exoneura pictifrons
ef1af2	DQ149706	Exoneura robusta
ef1af2	HQ268573	Exoneura sp. A New South Wales
ef1af2	HQ268567	Exoneura sp. A South Australia
ef1af2	DQ149709	Exoneura sp. Adelaide
ef1af2	HQ268577	Exoneura sp. B South Australia
ef1af2	HQ268565	Exoneura sp. C Western Australia
ef1af2	HQ268569	Exoneura sp. Dandenong
ef1af2	DQ149708	Exoneura sp. Tasmania
ef1af2	HQ268571	Exoneura sp. X Queensland
ef1af2	DQ149712	Exoneurella eremophila
ef1af2	DQ149713	Exoneurella lawsoni
ef1af2	DQ149711	Exoneurella setosa
ef1af2	HQ268555	Exoneurella sp. D Western Australia
ef1af2	DQ149710	Exoneurella tridentata
ef1af2	DQ149722	Exoneuridia hakkariensis
ef1af2	HQ995683	Fidelia braunsiana
ef1af2	HQ995685	Fidelia friesei
ef1af2	HQ995680	Fidelia kobrowi
ef1af2	HQ995686	Fidelia pallidula
ef1af2	HQ995681	Fidelia paradoxa
ef1af2	HQ995684	Fidelia ulrikei
ef1af2	HQ995682	Fidelia villosa
ef1af2	HQ995687	Fideliopsis hessei
ef1af2	DQ141113	Fideliopsis major
ef1af2	HQ995688	Fideliopsis ornata
ef1af2	GU244943	Florilegus sp. JS-2010
ef1af2	EU163187	Friesella schrottkyi
ef1af2	EU163188	Frieseomelitta silvestrii
ef1af2	FJ042300	Frieseomelitta trichocerata
ef1af2	FJ042301	Frieseomelitta varia
ef1af2	DQ813113	Geniotrigona incisa
ef1af2	DQ813115	Geniotrigona thoracica
ef1af2	DQ884655	Geodiscelis longiceps
ef1af2	FJ042304	Geotrigona fulvatra
ef1af2	DQ813116	Geotrigona fulvohirta
ef1af2	EU163196	Geotrigona kraussi
ef1af2	FJ042305	Geotrigona mombuca
ef1af2	FJ042303	Geotrigona subgrisea
ef1af2	DQ884623	Glossurocolletes bilobatus
ef1af2	AF435386	Goeletapis peruensis
ef1af2	AY585131	Goniocolletes fimbriatinus
ef1af2	AF435387	Habralictus sp. BND-2001
ef1af2	HQ995748	Haetosmia brachyura
ef1af2	EU851552	Haetosmia circumventa
ef1af2	DQ884604	Halictanthrena malpighiacearum
ef1af2	AF140304	Halictus confusus
ef1af2	AF140296	Halictus crenicornis
ef1af2	AF140332	Halictus farinosus
ef1af2	AF140298	Halictus fulvipes
ef1af2	AF140305	Halictus gemmeus
ef1af2	AF140306	Halictus kessleri
ef1af2	AF140299	Halictus ligatus
ef1af2	AF140301	Halictus maculatus
ef1af2	AF140333	Halictus parallelus
ef1af2	AF140327	Halictus poeyi
ef1af2	AF140312	Halictus pollinosus
ef1af2	AF140328	Halictus pseudomaculatus
ef1af2	AF140334	Halictus quadricinctus
ef1af2	AF140336	Halictus rubicundus
ef1af2	AF140330	Halictus scabiosae
ef1af2	AF140331	Halictus sexcinctus
ef1af2	AF140297	Halictus simplex
ef1af2	AF140307	Halictus smaragdulus
ef1af2	AF140308	Halictus subauratus
ef1af2	AF140310	Halictus tripartitus
ef1af2	AF140311	Halictus tumulorum
ef1af2	AF140313	Halictus vestitus
ef1af2	EU254249	Halterapis isaloensis
ef1af2	DQ149720	Halterapis minuta
ef1af2	DQ149721	Halterapis seyrigi
ef1af2	DQ884638	Hemicotelles ruizii
ef1af2	EU851555	Heriades crucifer
ef1af2	EU851554	Heriades punctulifer
ef1af2	EU851553	Heriades truncorum
ef1af2	EF594326	Hesperapis cockerelli
ef1af2	AY230131	Hesperapis larreae
ef1af2	AY585151	Hesperapis regularis
ef1af2	EF594324	Hesperapis rhodocerata
ef1af2	AY585152	Hesperapis sp. Hesp940
ef1af2	EF594325	Hesperapis trochanterata
ef1af2	DQ813119	Heterotrigona bakeri
ef1af2	DQ813117	Heterotrigona erythrogaster
ef1af2	DQ813118	Heterotrigona itama
ef1af2	DQ884615	Hexantheda missionica
ef1af2	GU245028	Hexepeolus rhodogyne
ef1af2	EU851556	Hofferia schmiedeknechti
ef1af2	GU245013	Holcopasites arizonicus
ef1af2	GU245012	Holcopasites calliopsidis
ef1af2	GU245014	Holcopasites insoletus
ef1af2	GU245016	Holcopasites minimus
ef1af2	AY585112	Holcopasites ruthae
ef1af2	GU245015	Holcopasites stevensi
ef1af2	AF264839	Homalictus megastigmus
ef1af2	AF435389	Homalictus punctatum
ef1af2	DQ813120	Homotrigona fimbriata
ef1af2	GU244939	Hopliphora velutina
ef1af2	EU851572	Hoplitis adunca
ef1af2	EU851567	Hoplitis aff. onychophora CJP-2008
ef1af2	EU851577	Hoplitis albifrons
ef1af2	EU851561	Hoplitis annulata crenulata
ef1af2	EU851574	Hoplitis antalyae
ef1af2	EU851569	Hoplitis biscutellae
ef1af2	EU851562	Hoplitis bisulca
ef1af2	EU851584	Hoplitis brachypogon
ef1af2	EU851563	Hoplitis hemisphaerica
ef1af2	EU851568	Hoplitis hypocrita
ef1af2	EU851566	Hoplitis illustris
ef1af2	EU851582	Hoplitis incanescens
ef1af2	EU851575	Hoplitis lebanotica
ef1af2	EU851557	Hoplitis leucomelana
ef1af2	EU851558	Hoplitis mitis
ef1af2	EU851571	Hoplitis mojavensis
ef1af2	EU851580	Hoplitis moricei
ef1af2	EU851579	Hoplitis nasuta
ef1af2	EU851576	Hoplitis paralias
ef1af2	EU851559	Hoplitis pilosifrons
ef1af2	EU851583	Hoplitis platalea
ef1af2	EU851570	Hoplitis robusta
ef1af2	EU851564	Hoplitis sp. CJP-2008
ef1af2	EU851573	Hoplitis tigrina
ef1af2	EU851560	Hoplitis tridentata
ef1af2	EU851578	Hoplitis tuberculata
ef1af2	EU851581	Hoplitis villiersi
ef1af2	EU851565	Hoplitis villosa
ef1af2	EU851585	Hoplitis zuni
ef1af2	DQ884590	Hoplocolletes ventralis
ef1af2	EF411174	Hoplonomia amboiensis
ef1af2	EU851588	Hoplosmia pinquis
ef1af2	EU851587	Hoplosmia scutellaris
ef1af2	EU851586	Hoplosmia spinulosa
ef1af2	DQ884672	Hylaeus affinis
ef1af2	DQ884670	Hylaeus albonitens
ef1af2	DQ884668	Hylaeus alcyoneus
ef1af2	AY585128	Hylaeus amiculus
ef1af2	DQ884680	Hylaeus aralis
ef1af2	DQ884702	Hylaeus bidentatus
ef1af2	DQ884699	Hylaeus bituberculatus
ef1af2	DQ884708	Hylaeus burnsi
ef1af2	DQ884706	Hylaeus chlorosomus
ef1af2	DQ212159	Hylaeus connectens
ef1af2	DQ884686	Hylaeus constrictiformis
ef1af2	DQ884704	Hylaeus cyaneomicans
ef1af2	DQ884707	Hylaeus cyanophilus
ef1af2	DQ884678	Hylaeus cyanurus
ef1af2	DQ212160	Hylaeus difficilis
ef1af2	DQ884677	Hylaeus disjunctus
ef1af2	AY585129	Hylaeus elegans
ef1af2	DQ884682	Hylaeus eugeniellus
ef1af2	DQ884689	Hylaeus exleyae
ef1af2	DQ884690	Hylaeus extensus
ef1af2	DQ212158	Hylaeus globula
ef1af2	DQ212161	Hylaeus hula
ef1af2	DQ884675	Hylaeus hurdi
ef1af2	DQ884669	Hylaeus inquilina
ef1af2	DQ212163	Hylaeus kauaiensis
ef1af2	DQ212164	Hylaeus kokeensis
ef1af2	DQ212165	Hylaeus kona
ef1af2	DQ884671	Hylaeus leptocephalus
ef1af2	DQ884701	Hylaeus leptospermi
ef1af2	DQ212166	Hylaeus longiceps
ef1af2	DQ884685	Hylaeus microphenax
ef1af2	DQ884681	Hylaeus nubilosus
ef1af2	DQ884676	Hylaeus ofarrelli
ef1af2	DQ212167	Hylaeus pele
ef1af2	DQ884667	Hylaeus preposterosus
ef1af2	DQ884683	Hylaeus primulipictus
ef1af2	AY585130	Hylaeus proximus
ef1af2	DQ212168	Hylaeus pubescens
ef1af2	DQ884674	Hylaeus punctatus
ef1af2	DQ884705	Hylaeus quadratus
ef1af2	DQ884679	Hylaeus ruficeps
ef1af2	DQ884688	Hylaeus sculptus
ef1af2	DQ884664	Hylaeus simplus
ef1af2	DQ212169	Hylaeus solaris
ef1af2	DQ884666	Hylaeus sp. EABA-2006
ef1af2	DQ884700	Hylaeus trilobatus
ef1af2	DQ884665	Hylaeus vittatifrons
ef1af2	DQ884673	Hylaeus wootoni
ef1af2	DQ884691	Hyleoides concinna
ef1af2	HQ995709	Hypanthidioides marginata
ef1af2	HQ995710	Hypanthidium obscurius
ef1af2	GU244957	Hypotrigona gribodoi
ef1af2	DQ813122	Hypotrigona ruspolii
ef1af2	HQ995711	Icteranthidium ferrugineum
ef1af2	DQ149714	Inquilina excavata
ef1af2	DQ149715	Inquilina schwarzi
ef1af2	DQ149716	Inquilina sp. Adelaide
ef1af2	GU244952	Isepeolus atripilis
ef1af2	GU244951	Isepeolus cortesi
ef1af2	GU244953	Isepeolus luctuosus
ef1af2	GU244954	Isepeolus wagenknechti
ef1af2	AY585166	Isodontia mexicana
ef1af2	DQ884601	Kylopasiphae pruinosa
ef1af2	DQ884597	Kylopasiphae sp. EABA-2006
ef1af2	DQ884627	Lamprocolletes chalybeatus
ef1af2	AF264814	Lasioglossum albipes
ef1af2	AF272246	Lasioglossum albocinctum
ef1af2	AF264861	Lasioglossum alphenum
ef1af2	AF264815	Lasioglossum apristum
ef1af2	AF264856	Lasioglossum asteris
ef1af2	AF435390	Lasioglossum athabascense
ef1af2	AF264816	Lasioglossum boreale
ef1af2	AF435365	Lasioglossum brevicorne
ef1af2	AF435385	Lasioglossum calceatum
ef1af2	AF264841	Lasioglossum callizonium
ef1af2	AF264818	Lasioglossum cinctipes
ef1af2	AF264788	Lasioglossum cognatum
ef1af2	AF264819	Lasioglossum comagenense
ef1af2	AF264789	Lasioglossum conspicuum
ef1af2	AF264790	Lasioglossum convexum
ef1af2	AF264842	Lasioglossum coriaceum
ef1af2	AF264801	Lasioglossum cressonii
ef1af2	AF264843	Lasioglossum desertum
ef1af2	AF264850	Lasioglossum discum
ef1af2	AF264820	Lasioglossum duplex
ef1af2	AF264791	Lasioglossum erythrurum
ef1af2	AF264802	Lasioglossum figueresi
ef1af2	AF264792	Lasioglossum florale
ef1af2	AF264821	Lasioglossum fulvicorne
ef1af2	AF264844	Lasioglossum fuscipenne
ef1af2	AF264834	Lasioglossum gattaca
ef1af2	AF264803	Lasioglossum gundlachii
ef1af2	AF264804	Lasioglossum hyalinum
ef1af2	AF264857	Lasioglossum hybodinum
ef1af2	AF264805	Lasioglossum imitatum
ef1af2	AF435367	Lasioglossum inconditum
ef1af2	AF435366	Lasioglossum interruptum
ef1af2	AF264845	Lasioglossum laevigatum
ef1af2	AF264793	Lasioglossum lanarium
ef1af2	AF264822	Lasioglossum laticeps
ef1af2	AF264848	Lasioglossum lativentre
ef1af2	AF264846	Lasioglossum leucozonium
ef1af2	AF435368	Lasioglossum limbellum
ef1af2	AF264823	Lasioglossum lineare
ef1af2	AF435372	Lasioglossum lithuscum
ef1af2	AF435369	Lasioglossum lucidulum
ef1af2	AF435388	Lasioglossum lustrans
ef1af2	AF264849	Lasioglossum majus
ef1af2	AF264826	Lasioglossum malachurum
ef1af2	AF264825	Lasioglossum marginatum
ef1af2	AF264794	Lasioglossum mediopolitum
ef1af2	AF264824	Lasioglossum mediterraneum
ef1af2	AF264795	Lasioglossum mirandum
ef1af2	AF264827	Lasioglossum morio
ef1af2	EU203279	Lasioglossum nicolli
